"actor_1_facebook_likes","actor_2_facebook_likes","actor_3_facebook_likes","director_facebook_likes","duration","budget","imdb_score","title_year","facenumber_in_poster","movie_facebook_likes","cast_total_facebook_likes","num_critic_for_reviews"
29000,509,77,1000,143,1.05e+08,7.3,2013,4,115000,29770,490
15000,567,236,179,116,2e+08,6.6,2010,2,23000,16149,306
16000,968,919,0,131,1.9e+08,7,2013,0,83000,19166,575
894,829,581,0,154,1.95e+08,6.3,2011,2,46000,2593,428
11000,1000,1000,14000,122,1.85e+08,6.2,2008,2,5000,14959,470
2000,1000,838,56,93,1.85e+08,7.2,2012,0,39000,5005,488
998,119,105,681,122,1.85e+08,7.5,2016,4,30000,1327,322
1000,729,522,475,98,1.8e+08,8.4,2008,0,16000,2975,421
268,268,173,420,91,1.4e+08,6.2,2007,2,0,1125,162
1000,468,310,776,158,2e+08,5.8,2009,0,13000,2144,367
18000,14000,10000,0,96,2e+08,6.8,2009,0,0,48878,240
17000,15000,13000,0,127,1.76e+08,5.4,2015,1,44000,47334,384
11000,10000,103,282,110,1.8e+08,6.6,2016,2,29000,21175,248
1000,190,82,80,150,1.8e+08,6.9,2005,5,0,1317,284
34000,13000,1000,0,144,1.78e+08,7.3,2016,6,54000,49684,396
23000,13000,11000,22000,152,1.85e+08,9,2008,0,37000,57802,645
1000,848,262,0,96,1.75e+08,8.3,2009,1,27000,2635,408
1000,973,459,11,94,1.75e+08,6.5,2009,2,0,2579,219
21000,12000,4000,4000,126,1.4e+08,7.9,2008,3,10000,39252,486
17000,16000,1000,17000,126,1.7e+08,7.5,2011,0,42000,36017,682
10000,4000,582,188,106,1.7e+08,4.8,1999,2,0,15870,85
5000,3000,595,357,112,1.45e+08,5.2,2008,2,0,9131,264
10000,336,329,452,123,1.75e+08,6.9,2016,8,80000,11287,418
87000,11000,7000,293,96,1.75e+08,5.4,2007,0,2000,108016,186
10000,854,509,218,113,1.78e+08,7.9,2014,1,77000,12652,585
711,60,60,58,176,1.75e+08,6.1,1995,0,0,1004,91
23000,2000,570,208,118,1.75e+08,5.8,2009,4,0,26683,250
1000,767,384,0,95,1.75e+08,8.3,2015,1,118000,2944,536
19000,13000,591,4000,106,1.75e+08,7.8,2016,0,65000,32921,370
21000,19000,4000,4000,124,2e+08,7,2010,4,18000,48638,453
26000,17000,11000,274,132,1.7e+08,6.1,2012,0,53000,72881,416
11000,2000,846,171,97,1.8e+08,7,2014,2,89000,15516,401
10000,2000,884,198,130,1.7e+08,7.6,2014,0,45000,14363,521
18000,1000,982,47,128,1.75e+08,6.3,2013,2,35000,20965,218
19000,11000,2000,94,136,1.7e+08,7.8,2014,1,55000,36188,576
4000,225,213,31,93,1.65e+08,6.4,2010,2,0,4628,226
2000,638,604,663,130,1.9e+08,6.5,2015,2,37000,5046,443
756,719,562,38,102,1.65e+08,7.9,2014,0,41000,2963,384
975,931,833,66,101,1.65e+08,7.8,2012,1,40000,4451,377
15000,726,267,0,100,1.65e+08,6.6,2004,0,10000,16264,188
890,812,535,776,120,1.65e+08,5.5,2016,0,67000,3233,286
18000,953,759,255,98,1.65e+08,8.2,2010,0,33000,20453,288
648,284,191,84,109,2e+08,6.4,2003,0,0,1769,280
14000,14000,3000,571,121,1.7e+08,8.1,2014,3,96000,32438,653
11000,11000,6000,22000,169,1.65e+08,8.6,2014,1,349000,31488,712
29000,27000,23000,22000,148,1.6e+08,8.8,2010,0,175000,81115,642
23000,14000,4000,357,106,3.8e+07,6.7,2001,2,14000,45327,187
11000,1000,919,21000,166,1.5e+08,7.8,2008,2,23000,13333,362
34000,13000,1000,905,132,1.6e+08,7.8,2011,3,54000,50983,500
34000,22000,14000,508,137,1.6e+08,6.6,2015,1,38000,81385,389
12000,418,370,226,109,1.5e+08,6.1,2010,0,11000,13388,235
87000,2000,702,249,98,1.6e+08,5.6,2006,0,0,92456,231
40000,25000,11000,33,113,1.7e+08,6.4,2016,1,30000,80806,218
3000,795,692,50,93,1.6e+08,6.1,2007,2,0,4705,227
3000,716,648,0,123,1.6e+08,7.3,2016,0,89000,5505,275
24000,10000,2000,230,126,1.55e+08,6.6,2015,2,82000,38873,474
531,82,59,150,113,1.55e+08,6.3,2010,4,11000,764,228
3000,961,691,0,184,1.4e+08,6.1,2001,0,0,5401,191
662,599,581,0,144,1.5e+08,7.1,2007,0,8000,2333,396
12000,11000,591,0,206,1.55e+08,5.5,2004,3,0,24598,248
21000,11000,687,282,138,1.5e+08,7.5,2007,3,0,33433,329
21000,11000,10000,179,157,1.5e+08,7.6,2005,1,0,53413,295
10000,9000,979,532,102,1.5e+08,6.4,2008,0,0,21584,318
10000,1000,558,508,104,1.5e+08,7.2,2007,0,11000,13076,323
40000,16000,588,13000,115,1.5e+08,6.7,2005,3,0,57844,276
1000,1000,954,663,111,1.5e+08,8,2007,0,10000,4764,318
23000,14000,11000,22000,128,1.5e+08,8.3,2005,0,15000,59558,478
1000,851,436,35,89,1.5e+08,6.7,2008,0,0,3285,167
49000,3000,1000,189,105,1.5e+08,5.9,2009,2,2000,54039,185
20000,16000,2000,151,119,1.5e+08,6.7,2009,0,0,40054,350
309,269,233,0,129,1.5e+08,6.7,2003,0,0,1062,245
1000,523,490,69,102,1.5e+08,7.6,2013,0,58000,2582,406
234,198,30,0,138,1.5e+08,7.2,2003,0,0,534,275
26000,20000,12000,230,112,1.7e+08,7.1,2013,3,63000,59803,486
27000,9000,943,750,120,1.5e+08,8.1,2015,0,191000,40025,739
15000,745,294,2000,146,1.5e+08,6.7,2009,2,0,16948,298
26000,20000,12000,0,115,1.5e+08,7,2011,1,63000,60059,516
17000,759,699,59,96,1.5e+08,6.9,2008,0,0,20007,225
730,607,182,12,88,1.5e+08,5.1,2009,0,0,2217,145
14000,897,502,473,99,1.5e+08,5.8,2012,0,19000,16184,310
40000,17000,16000,13000,113,1e+08,6.2,2012,7,82000,80849,526
10000,10000,641,188,131,1.5e+08,7.4,2015,0,47000,21840,465
12000,490,162,394,119,1.5e+08,5.8,2010,0,0,13071,357
11000,10000,103,282,110,1.8e+08,6.6,2016,2,29000,21175,248
2000,852,826,58,91,1.5e+08,6.2,2007,0,0,6576,194
11000,10000,15,90,90,1.5e+08,7.3,2011,0,20000,21015,284
1000,756,346,0,103,1.5e+08,4.2,2010,0,18000,2857,280
22000,10000,979,14000,124,1.5e+08,6.9,2006,0,0,34817,310
17000,551,256,776,131,1.5e+08,6.4,2013,2,33000,18204,339
921,562,433,25,88,1.5e+08,5.4,2011,0,0,2652,132
20000,14000,586,42,85,1.49e+08,6.7,2006,0,0,35161,135
20000,548,394,456,111,1.5e+08,5.8,2015,4,24000,21393,256
3000,1000,517,50,92,1.45e+08,6.9,2014,2,11000,5810,196
11000,5000,844,249,196,1.75e+08,7.2,2004,2,0,17944,220
851,770,436,35,93,1.45e+08,6.9,2012,0,17000,2444,211
769,766,746,93,133,1.42e+08,6.1,2002,0,0,2538,264
783,370,322,176,116,1.44e+08,5.5,2016,4,62000,2097,464
13000,12000,537,0,153,1.4e+08,6.6,1998,0,11000,26029,167
10000,3000,826,188,88,1.4e+08,6.1,2002,2,2000,14823,208
18000,12000,964,0,115,1.5e+08,6.3,2007,1,3000,31523,287
24000,11000,967,5,95,1.45e+08,7.2,2016,0,24000,36095,210
10000,10000,690,663,133,1.45e+08,7.4,2011,3,35000,21768,432
20000,315,161,52,97,1.45e+08,7.3,2012,0,25000,20645,256
957,550,233,23,90,1e+08,6.1,2005,1,2000,1997,135
10000,956,445,380,154,1.4e+08,7.7,2003,1,0,11945,190
23000,893,748,0,150,1.4e+08,6.1,2014,0,51000,26490,314
26000,12000,981,14000,127,1.5e+08,8,2009,0,19000,39284,518
24000,11000,4000,0,121,1.39e+08,7.3,2002,0,5000,40484,291
18000,3000,953,255,102,1.45e+08,7.9,2014,5,46000,23378,292
18000,934,284,295,126,1.4e+08,5.5,2016,4,24000,19769,184
820,780,653,357,121,1.35e+08,5,2005,0,0,2705,145
986,745,413,0,215,1.3e+08,7.7,2009,1,18000,2530,451
5000,808,91,503,127,1.4e+08,6.6,1998,2,0,6171,141
820,300,258,0,138,1.37e+08,5.7,2003,0,0,1814,267
17000,12000,934,209,122,1.3e+08,5.8,2013,6,42000,31958,351
11000,973,848,42,124,1.3e+08,6,2005,3,0,13073,163
12000,2000,422,6,106,1.37e+08,6.4,2001,1,0,15015,166
11000,3000,2000,394,124,1.4e+08,6.9,2011,0,46000,19761,510
766,536,244,150,128,1.35e+08,6.4,1999,2,2000,2037,197
613,172,168,608,138,1.5e+08,7.4,2003,1,0,1205,244
21000,17000,12000,386,115,1.2e+08,5.5,2012,3,65000,59177,322
49000,11000,988,750,100,1.35e+08,5.9,2011,0,0,62644,156
3000,1000,882,255,135,1.5e+08,6.8,2008,0,0,5811,354
535,400,358,14000,117,1.4e+08,6.8,2016,0,27000,1950,252
29000,27000,733,0,156,1.35e+08,8.1,2015,0,190000,57108,556
16000,881,463,13,96,1.35e+08,6.5,2013,0,13000,17416,166
40000,1000,939,563,107,1.35e+08,7.2,2011,0,26000,43291,362
19000,411,179,35,92,1.32e+08,6.7,2014,0,11000,19963,153
13000,897,883,521,115,1.1e+08,8.1,2007,0,0,17369,329
11000,967,562,54,92,1.3e+08,7.6,2008,0,6000,12754,266
2000,2000,680,235,117,1.3e+08,7.4,2015,6,61000,5730,517
34000,14000,523,508,146,1.3e+08,7.6,2013,1,82000,49355,502
21000,17000,12000,386,115,1.2e+08,5.5,2012,3,65000,59177,322
17000,523,183,12,94,1.35e+08,6.7,2015,0,26000,17883,165
10000,1000,807,14000,116,1.32e+08,6.5,2005,0,0,12758,401
10000,898,877,0,147,1.3e+08,6.6,2003,1,0,12954,94
4000,442,397,50,90,1.3e+08,6.7,2011,0,16000,5046,246
11000,702,282,176,101,1.1e+08,6.4,2010,1,23000,12406,330
12000,9000,8000,0,138,1.25e+08,5.8,2014,2,71000,32355,434
2000,871,845,14000,107,1.35e+08,7.4,2011,1,44000,4631,440
11000,10000,10000,0,142,1.3e+08,7.8,2004,3,11000,33284,274
309,284,165,1000,165,1.3e+08,6.6,2008,0,0,921,245
10000,943,894,0,100,1.3e+08,4.9,2013,0,37000,14168,349
1000,558,388,0,82,127500000,6.5,2000,1,0,2945,145
49000,3000,1000,189,98,1.27e+08,6.2,2014,7,11000,53587,154
24000,11000,8000,96,95,1.3e+08,7.3,2010,3,13000,46120,233
11000,687,645,0,159,1.25e+08,7.5,2001,4,16000,13191,258
16000,12000,1000,124,96,1.3e+08,5.6,2013,2,20000,31549,208
40000,5000,1000,563,143,1.4e+08,8.1,2003,3,10000,48184,271
34000,22000,14000,508,123,1.25e+08,6.7,2014,1,52000,81385,403
15000,574,362,2000,174,1.25e+08,6.6,2006,2,0,16008,294
688,237,56,107,101,1.03e+08,6.4,2014,0,0,1031,159
20000,505,346,0,134,1.1e+08,7.5,2003,4,0,20952,289
23000,14000,12000,681,132,1.25e+08,7.3,2011,3,54000,55345,342
21000,979,154,0,129,1.25e+08,7.5,2011,2,39000,22403,382
14000,1000,850,255,106,1.25e+08,5.8,2010,0,15000,18003,344
605,308,217,719,113,6.5e+07,7.5,1990,0,0,1441,196
845,372,241,323,102,8.5e+07,6.6,1999,1,0,1815,85
10000,826,602,209,135,1.25e+08,6.7,2012,0,31000,12175,436
920,890,409,541,125,1.25e+08,3.7,1997,3,0,2699,183
1000,722,636,2000,110,1.23e+08,6,2000,0,0,4146,175
15000,2000,812,776,124,1.25e+08,6.4,2004,0,19000,20553,239
10000,794,653,610,123,1.25e+08,6.1,2000,0,0,11930,237
784,638,461,249,130,1.4e+08,6.4,2000,0,0,2684,231
11000,2000,702,167,92,1.3e+08,5.6,2007,3,0,15302,262
774,358,341,0,127,1.2e+08,8,2012,0,122000,2121,552
12000,701,402,160,123,1.1e+08,5.2,2007,1,0,14017,276
13000,365,265,521,123,1.2e+08,7.1,2016,0,31000,13752,267
2000,1000,1000,368,107,1.2e+08,4.8,2003,0,0,4046,102
13000,9000,641,0,124,1.3e+08,7,2012,0,97000,24098,775
886,799,537,50,77,1.2e+08,5.4,2002,0,459,2682,71
13000,2000,1000,662,109,1.15e+08,6.6,2013,0,61000,17689,476
14000,850,567,123,134,1.05e+08,6.7,2004,0,0,17159,207
10000,2000,1000,294,117,1e+08,6.2,2014,0,60000,14161,492
690,107,87,0,135,1.2e+08,6.1,2008,0,0,902,284
273,216,157,274,121,1.2e+08,5.3,2010,4,0,993,168
10000,973,877,446,117,1.17e+08,6.3,2010,0,11000,12731,283
11000,10000,1000,364,124,1.2e+08,7,2013,0,71000,22004,539
20000,16000,4000,0,140,1.13e+08,7.6,2005,4,10000,44042,359
20000,16000,4000,0,142,1.15e+08,6.7,2002,3,0,42990,284
12000,1000,773,0,92,1.15e+08,8.1,2001,0,0,15013,250
20000,992,929,446,138,1.2e+08,6.7,2013,1,68000,23755,440
20000,14000,1000,0,136,1.15e+08,6.5,1999,1,13000,37723,320
16000,15000,12000,16,98,1.35e+08,7.3,2013,3,28000,43286,257
936,276,141,0,116,7.8e+07,5.1,2008,1,291,1609,33
12000,836,617,610,153,1.15e+08,6,2002,0,0,15046,152
26000,11000,9000,19,120,1.15e+08,6.1,2016,2,16000,46719,231
833,809,429,473,101,1.25e+08,5.9,2014,0,62000,2690,348
39,23,13,0,91,1e+08,7.8,2013,0,147000,87,738
650,293,268,79,108,1.16e+08,5.8,1997,1,0,1569,93
596,360,78,128,100,1.2e+08,4.3,2015,3,41000,1261,369
49000,3000,1000,189,108,1.1e+08,6.4,2006,2,3000,55486,179
12000,2000,884,62,114,1.1e+08,6.1,2015,0,52000,16718,358
811,766,387,55,119,1.1e+08,6.5,1997,3,0,2958,160
13000,2000,1000,776,142,1.1e+08,7.1,2000,1,4000,19454,192
11000,8000,350,0,125,1.1e+08,6.4,2004,0,0,19359,198
11000,11000,322,218,126,1.2e+08,6.5,2005,2,0,22722,233
14000,5000,1000,124,119,1.1e+08,6.3,2015,0,27000,22622,263
29000,3000,827,17000,170,1.1e+08,7.5,2004,0,0,34582,267
480,392,116,11,85,1.12e+08,4.9,2010,1,0,1173,184
11000,1000,741,1000,119,1.2e+08,5.8,2011,0,14000,13391,447
6000,1000,1000,263,102,1.1e+08,6.2,2014,0,71000,10583,366
383,113,111,67,103,1.1e+08,5.5,2011,3,31000,692,172
12000,513,421,6,76,1.1e+08,5.4,2004,0,304,13607,104
6000,5000,943,124,120,1.1e+08,5.8,2016,3,12000,12452,181
20000,929,544,189,127,1.1e+08,7.1,2011,1,36000,22254,327
681,71,40,67,105,1.05e+08,5.4,2013,3,0,914,125
673,368,202,101,121,1.6e+08,3.7,1997,0,894,2027,79
11000,635,430,151,114,1.1e+08,6.7,2013,4,123000,12908,326
13000,300,297,235,129,1.1e+08,7.2,2007,1,0,13961,354
16000,5000,857,0,171,9.3e+07,8.8,2001,2,21000,22342,297
1000,1000,447,153,120,1.1e+08,5.8,2004,0,0,3175,188
10000,851,780,0,165,1.07e+08,6.8,2001,1,0,14196,174
760,743,434,34,82,1.09e+08,3.8,2003,1,946,2762,109
10000,981,466,295,115,1.2e+08,7.1,2004,1,0,12068,225
14000,5000,195,0,194,1.3e+08,7.2,2005,1,0,19600,239
979,886,692,50,84,1.33e+08,5.9,1999,0,0,3382,101
852,578,525,63,97,1.05e+08,7.1,2009,0,5000,2480,228
13000,801,372,0,151,1.08e+08,8.1,2015,1,153000,14831,568
19000,12000,3000,0,136,1.26e+08,6.9,2005,1,0,34839,257
752,631,591,23,104,9e+07,4.4,2001,0,53,3133,62
12000,11000,3000,57,127,9e+07,6.5,2000,1,0,29069,175
3000,933,695,0,171,1.03e+08,8.5,2000,0,21000,6521,265
10000,798,533,14000,145,1.02e+08,7.7,2002,0,0,12546,252
11000,10000,9000,0,174,1e+08,7.4,2002,1,0,35672,232
6000,1000,834,258,144,1.5e+08,8,2006,1,0,9125,400
1000,658,567,13000,119,1e+08,5.7,2001,0,0,2776,230
780,604,539,0,153,1.02e+08,8.5,1991,0,13000,2829,210
40000,23000,1000,0,140,1e+08,7,2009,1,0,64599,357
18000,782,561,0,176,1e+08,7.8,2007,0,0,20354,300
2000,1000,618,0,141,1.15e+08,7.2,1994,0,0,4528,94
18000,464,385,12000,106,1e+08,6.4,2009,1,0,19906,267
22000,713,708,80,98,1e+08,5.5,2010,10,0,24082,180
12000,8000,107,285,116,1e+08,6.7,2010,2,16000,20233,265
1000,773,383,55,115,1e+08,6.1,1996,1,0,3454,81
29000,11000,265,16000,165,1e+08,8.5,2012,1,199000,40978,765
2000,700,542,21,91,1e+08,6.9,1996,0,0,4842,80
558,452,253,10,78,1e+08,7.3,2000,1,0,2039,141
26000,13000,13000,165,103,9.2e+07,6.7,2012,3,108000,57881,383
12000,625,341,226,131,1e+08,6.9,2004,0,0,13679,193
3000,762,203,14,104,1e+08,5.1,2006,0,0,4487,170
925,468,279,0,101,1e+08,6.8,2009,0,11000,1738,333
20000,548,394,456,111,1.5e+08,5.8,2015,4,24000,21393,256
14000,151,120,77,102,1e+08,6.7,2013,2,17000,14552,203
40000,11000,3000,207,103,1e+08,6,2010,0,25000,55175,321
1000,1000,595,0,121,8.3e+07,5.7,1999,0,2000,3903,174
29000,3000,452,380,143,1e+08,8,2006,0,14000,33160,166
29000,11000,4000,17000,240,1e+08,8.2,2013,3,138000,46057,606
920,710,680,541,121,1e+08,5.4,1995,4,0,2880,144
660,475,423,719,129,1.05e+08,7.2,1997,0,0,2031,192
15000,5000,1000,670,172,1.02e+08,7.5,2012,5,124000,22686,511
2000,653,577,0,101,8e+07,7,2010,1,16000,4286,188
827,825,566,26,87,1e+08,3.3,2004,0,0,3144,212
12000,3000,467,420,101,1e+08,6,2014,0,21000,16235,245
23000,770,720,63,95,1.4e+08,7.1,2002,0,0,26940,127
8000,735,526,52,102,1e+08,5.4,2009,1,0,10552,167
26000,13000,11000,385,131,9e+07,6.1,2014,15,56000,52610,320
1000,897,848,19,114,1.05e+08,5.3,2015,1,37000,3962,163
490,294,227,6,94,8.4e+07,2.2,2005,0,881,1195,78
26000,911,571,2000,122,1e+08,7,2015,0,27000,28328,289
3000,695,683,31,95,1e+08,3.8,2002,1,416,6161,66
13000,537,95,521,115,1e+08,6.9,2010,1,0,13761,266
144,42,36,20,88,9.9e+07,7.2,2015,0,33000,309,208
623,508,393,342,110,1e+07,7.3,1997,0,578,1722,97
12000,3000,591,208,130,9.8e+07,6.3,2001,5,0,15972,202
29000,14000,1000,17000,216,1e+08,7.5,2002,3,0,47657,233
23000,196,28,611,146,9.4e+07,7.6,2011,2,13000,23240,136
12000,11000,970,9,85,1e+08,6.8,2007,0,0,25590,154
11000,2000,465,0,93,9e+07,5.2,2004,1,0,13748,169
2000,820,557,0,152,9.2e+07,7.7,2001,0,10000,4270,200
8000,331,329,116,85,9.5e+07,6.2,2012,0,18000,9271,255
14000,13000,10000,0,126,9.3e+07,7.7,1997,2,18000,39319,173
962,740,722,127,146,1e+08,4.3,2010,4,0,4555,221
2000,919,442,10,89,9.5e+07,6.9,2000,1,0,3372,82
22000,1000,916,20,88,9.5e+07,6.6,2012,0,14000,25354,233
2000,520,502,0,105,9.5e+07,7,2015,1,56000,4671,343
873,560,310,0,135,6.5e+07,6.7,2009,1,16000,2370,308
1000,939,799,475,100,9.4e+07,8.2,2003,0,11000,5641,301
5000,857,416,0,192,9.4e+07,8.9,2003,2,16000,6434,328
16000,5000,857,0,172,9.4e+07,8.7,2002,1,10000,23052,294
12000,3000,766,44,102,9.5e+07,5.5,2014,4,16000,17098,175
11000,509,240,165,100,1.15e+08,5.7,2001,1,0,12150,199
40000,11000,968,0,119,1e+08,6.3,2014,1,37000,54031,355
693,595,527,394,92,9.3e+07,5.9,2001,0,0,2574,198
11000,1000,779,81,105,9.3e+07,7.6,2011,0,47000,13118,529
770,419,330,70,107,9e+07,6.6,2008,0,0,1614,198
13000,787,476,212,101,9.2e+07,5.3,2013,2,66000,15481,412
2000,973,877,102,137,1.07e+08,6,2004,0,701,5780,106
1000,723,55,663,115,9.2e+07,8,2004,0,0,1901,283
1000,903,810,212,124,9.8e+07,5.6,1995,3,1000,3611,61
8000,3000,1000,0,118,9.5e+07,5.9,2010,0,9000,14024,217
10000,826,602,188,98,9e+07,7.3,1997,0,0,12998,175
15000,1000,967,487,82,9e+07,7.9,1999,2,0,21275,191
18000,3000,1000,12000,98,1e+08,6.8,2010,1,18000,25780,316
191,165,141,420,90,9e+07,6.6,2001,2,0,664,127
11000,627,568,0,130,1e+08,6.6,2000,0,0,12890,185
622,526,56,97,90,1e+08,7,2009,1,0,1227,191
835,256,117,107,94,9e+07,7,2009,0,0,1258,188
3000,806,423,0,114,9e+07,7.3,2013,1,70000,5095,362
13000,1000,466,368,94,9.2e+07,5.5,2000,0,0,15419,181
29000,13000,1000,17000,151,9e+07,8.5,2006,0,29000,45648,352
2000,500,484,7,88,9e+07,7.5,1998,0,12000,4478,143
21000,1000,918,0,121,9.2e+07,7,2008,3,0,23484,308
18000,1000,585,21000,158,9e+07,7.8,2011,1,54000,20388,517
13000,559,489,323,128,9e+07,7.6,1995,1,0,14274,148
21000,979,727,0,128,9e+07,7.6,2009,3,20000,23996,415
12000,802,503,21,95,1.2e+08,6.8,2001,0,0,15237,146
35000,1000,1000,12,92,9e+07,5,2015,0,0,38450,70
10000,1000,919,0,121,7.5e+07,7.1,2008,0,0,14165,269
11000,600,503,221,113,9e+07,5.5,2008,0,0,13446,198
22000,11000,1000,0,106,8.8e+07,5.6,2015,0,39000,35367,253
3000,882,681,14000,146,1e+08,7.1,2001,0,11000,6217,281
691,569,441,50,88,9e+07,4.9,2003,0,988,2622,122
11000,1000,135,0,150,9e+07,7.4,1997,2,15000,12289,159
833,624,423,719,119,9.5e+07,5.7,2000,0,0,2356,180
591,249,249,521,128,8e+07,6.4,2005,1,0,2100,227
8000,956,918,87,106,9e+07,5.9,2013,0,28000,10882,183
18000,11000,3000,101,117,9.5e+07,5.5,2003,1,0,33154,157
11000,11000,886,209,129,9e+07,6.9,2016,6,15000,23031,196
192,117,84,176,116,6.8e+07,6.2,1997,0,0,475,64
11000,577,307,12000,114,9.2e+07,7,2001,2,0,12499,142
3000,933,281,0,114,9e+07,5.6,2000,0,0,4902,181
11000,560,350,107,96,9e+07,7,2011,0,19000,12071,240
49000,1000,957,0,132,1e+08,6.8,1999,0,0,55254,93
3000,643,612,81,104,9e+07,5.4,1997,0,2000,5062,84
11000,11000,2000,79,111,8.6e+07,6.1,1997,0,979,26088,66
14000,602,123,0,138,1e+08,6.7,2002,1,0,15149,136
596,360,78,128,100,1.2e+08,4.3,2015,3,41000,1261,369
919,691,183,468,129,2e+07,6.9,1982,0,0,2024,166
680,655,537,2000,144,8.8e+07,8,2005,0,0,2523,201
887,886,554,96,110,9e+07,4.4,2010,0,788,2728,47
12000,947,599,378,140,8.7e+07,7.3,2003,0,0,13808,175
22000,946,848,101,113,9.2e+07,6.3,1996,0,0,26239,114
23000,14000,4000,357,106,3.8e+07,6.7,2001,2,14000,45327,187
15000,410,272,0,143,9e+07,7.7,2000,1,23000,15838,221
49000,20000,971,750,108,1e+08,6.5,2006,0,0,70996,206
13000,805,129,521,108,7.5e+07,7.8,2004,1,0,14161,239
11000,10000,936,249,124,8.5e+07,6.4,1997,1,0,23603,142
11000,1000,471,0,116,8.5e+07,7.8,2001,4,0,13028,186
14000,8000,5000,545,110,7.5e+07,5.8,2011,8,19000,27694,228
12000,11000,11000,266,91,8.5e+07,7.1,2012,2,28000,37142,256
283,142,118,36,107,8.5e+07,7.1,2007,2,0,662,222
18000,16000,820,79,115,8.5e+07,6.8,2012,1,19000,36237,298
2000,795,439,36,100,8.5e+07,4.8,2000,1,372,4182,84
2000,906,535,420,104,7.5e+07,6.2,2011,5,0,3768,236
14000,3000,213,278,138,8.5e+07,6.9,2006,3,19000,17423,157
10000,660,619,12000,140,9e+07,7.3,1998,4,0,11951,81
11000,2000,963,278,120,8.5e+07,6.6,2009,2,0,15226,187
14000,13000,11000,0,122,8.5e+07,6.9,2007,3,0,43499,238
4000,650,624,28,83,8.5e+07,6.2,2006,1,863,6081,107
